City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
642,Moron,AR,77.02,clear sky,-34.6534,-58.6198,Hotel Morón
643,Sao Joao Dos Patos,BR,73.72,light rain,-6.495,-43.7022,Montesino Hotel & Restaurante
644,Omboue,GA,74.62,moderate rain,-1.5746,9.2618,Hotel Olako
649,Banjar,ID,76.78,broken clouds,-8.19,114.9675,The Hamsa Resort
654,Camocim,BR,73.44,overcast clouds,-2.9022,-40.8411,Ilha Praia Hotel
661,Marsh Harbour,BS,75.13,broken clouds,26.5412,-77.0636,Abaco Beach Resort
672,Cockburn Town,TC,78.76,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
676,Eyl,SO,77.95,clear sky,7.9803,49.8164,Amiin Hotel
683,Tezu,IN,70.41,broken clouds,27.9167,96.1667,Circuit House
684,Sarankhola,BD,75.94,scattered clouds,22.3082,89.7897,Red Crescent Cyclone Shelter Rashulpur
690,Bargur,IN,75.4,clear sky,12.5424,78.3539,VP's Kitchen Smoke N Grill
694,Puerto Ayacucho,VE,75.83,light rain,5.6639,-67.6236,Posada Turistica Manapiare
